9,8,61.5625
14,8,9.03061224489796
22,19,19.675
23,12,26.6
28,2,63.785714285714285
33,24,37.916666666666664
38,24,80.0
38,33,48.0
39,7,16.397058823529413
41,26,18.30232558139535
49,19,9.156498673740053
49,22,36.4
59,50,66.9375
63,2,26.448275862068964
63,28,44.26086956521739
66,7,11.230769230769232
66,39,47.916666666666664
72,7,9.40764331210191
72,39,74.92
72,66,3.6236080178173715
73,71,85.0
76,67,85.6875
83,7,28.96907216494845
85,78,19.0
87,47,6.482758620689655
88,9,87.83333333333333
88,26,42.11764705882353
88,41,44.916666666666664
90,49,26.330188679245282
91,25,58.400000000000006
91,40,16.322580645161292
94,9,33.16666666666667
96,1,89.0625
96,67,39.68571428571428
96,76,31.492957746478872
98,67,46.75
98,76,19.65168539325843
98,96,38.0625
99,28,88.76923076923076
99,63,57.66666666666667
100,57,69.0
102,24,18.416666666666668
102,33,50.400000000000006
103,58,48.72222222222222
106,16,23.73015873015873
107,24,28.136363636363633
107,33,60.71428571428571
108,36,21.15841584158416
110,58,25.753846153846155
112,109,85.46153846153847
112,111,14.5
114,67,47.95833333333333
114,76,38.57692307692307
114,96,12.516129032258066
114,98,18.129411764705882
117,69,14.436363636363636
119,77,41.45
121,31,91.93333333333332
123,46,11.62962962962963
123,61,62.75
123,65,87.33333333333333
124,53,77.0
128,70,79.66666666666667
128,102,81.0
130,22,66.9
131,5,26.65079365079365
132,20,94.25
135,83,38.916666666666664
136,15,72.7
136,64,62.15384615384615
136,101,42.526315789473685
138,99,48.05263157894737
140,17,25.029411764705884
142,11,61.0
144,36,89.32142857142857
144,45,86.63636363636364
144,64,89.3
144,101,54.05555555555556
146,24,24.205882352941174
146,33,74.25
146,38,95.19999999999999
146,70,98.99999999999999
146,102,87.47058823529412
146,107,15.623762376237623
147,44,97.81818181818181
153,95,64.17857142857143
153,97,52.40625
155,86,77.0
156,120,46.44444444444444
157,15,83.0
157,64,28.805555555555557
160,25,91.0
160,91,78.39999999999999
160,138,57.77777777777777
168,158,79.0
170,12,98.00000000000001
170,23,62.5
171,138,80.33333333333334
172,118,85.125
174,26,60.83333333333334
175,156,85.16666666666667
176,141,38.25
179,17,74.0909090909091
179,149,25.29090909090909
