postcode, ra_category, ra_name
3419, 2, Outer Regional Australia
3420, 2, Outer Regional Australia
3423, 2, Outer Regional Australia
3424, 3, Remote Australia
3430, 1, Inner Regional Australia
3431, 1, Inner Regional Australia
3432, 1, Inner Regional Australia
3433, 1, Inner Regional Australia
3434, 1, Inner Regional Australia
3435, 1, Inner Regional Australia
3437, 1, Inner Regional Australia
3438, 1, Inner Regional Australia
3440, 1, Inner Regional Australia
3441, 1, Inner Regional Australia
3442, 1, Inner Regional Australia
3444, 1, Inner Regional Australia
3446, 1, Inner Regional Australia
3447, 1, Inner Regional Australia
3448, 1, Inner Regional Australia
3450, 1, Inner Regional Australia
3451, 1, Inner Regional Australia
3453, 1, Inner Regional Australia
3458, 1, Inner Regional Australia
3460, 1, Inner Regional Australia
3461, 1, Inner Regional Australia
3462, 1, Inner Regional Australia
3463, 1, Inner Regional Australia
3464, 1, Inner Regional Australia
3465, 1, Inner Regional Australia
3467, 1, Inner Regional Australia
3468, 1, Inner Regional Australia
3469, 2, Outer Regional Australia
3472, 1, Inner Regional Australia
3475, 1, Inner Regional Australia
3477, 2, Outer Regional Australia
