postcode, ra_category, ra_name
6480, 3, Remote Australia
6484, 3, Remote Australia
6485, 2, Outer Regional Australia
6487, 3, Remote Australia
6488, 3, Remote Australia
6489, 3, Remote Australia
6490, 3, Remote Australia
6501, 1, Inner Regional Australia
6502, 1, Inner Regional Australia
6503, 1, Inner Regional Australia
6504, 2, Outer Regional Australia
6505, 2, Outer Regional Australia
6506, 2, Outer Regional Australia
6507, 2, Outer Regional Australia
6509, 2, Outer Regional Australia
6510, 2, Outer Regional Australia
6511, 2, Outer Regional Australia
6512, 2, Outer Regional Australia
6513, 3, Remote Australia
6514, 3, Remote Australia
6515, 3, Remote Australia
6516, 2, Outer Regional Australia
6517, 3, Remote Australia
6518, 3, Remote Australia
6519, 3, Remote Australia
6521, 2, Outer Regional Australia
6522, 2, Outer Regional Australia
6525, 2, Outer Regional Australia
6528, 2, Outer Regional Australia
6530, 2, Outer Regional Australia
6532, 2, Outer Regional Australia
6535, 2, Outer Regional Australia
6536, 3, Remote Australia
6537, 4, Very Remote Australia
6556, 1, Inner Regional Australia
6558, 1, Inner Regional Australia
6560, 1, Inner Regional Australia
6562, 1, Inner Regional Australia
6564, 1, Inner Regional Australia
6566, 1, Inner Regional Australia
6567, 1, Inner Regional Australia
6568, 2, Outer Regional Australia
6569, 2, Outer Regional Australia
6571, 2, Outer Regional Australia
6572, 2, Outer Regional Australia
6574, 2, Outer Regional Australia
6575, 2, Outer Regional Australia
6603, 2, Outer Regional Australia
6605, 3, Remote Australia
6606, 3, Remote Australia
6608, 3, Remote Australia
6609, 3, Remote Australia
6612, 4, Very Remote Australia
6613, 3, Remote Australia
6614, 3, Remote Australia
6616, 3, Remote Australia
6620, 3, Remote Australia
6623, 3, Remote Australia
6625, 3, Remote Australia
6627, 3, Remote Australia
6628, 3, Remote Australia
6630, 3, Remote Australia
6631, 3, Remote Australia
6632, 3, Remote Australia
6635, 4, Very Remote Australia
6638, 4, Very Remote Australia
6639, 4, Very Remote Australia
6640, 4, Very Remote Australia
6642, 4, Very Remote Australia
6646, 4, Very Remote Australia
6701, 3, Remote Australia
6705, 4, Very Remote Australia
6707, 4, Very Remote Australia
6710, 4, Very Remote Australia
6711, 4, Very Remote Australia
6712, 4, Very Remote Australia
6713, 3, Remote Australia
6714, 3, Remote Australia
6716, 4, Very Remote Australia
6718, 3, Remote Australia
6720, 3, Remote Australia
6721, 3, Remote Australia
6722, 3, Remote Australia
6725, 3, Remote Australia
6726, 3, Remote Australia
6728, 4, Very Remote Australia
6731, 4, Very Remote Australia
6733, 4, Very Remote Australia
6740, 4, Very Remote Australia
6743, 3, Remote Australia
6751, 4, Very Remote Australia
6753, 4, Very Remote Australia
6754, 4, Very Remote Australia
6758, 4, Very Remote Australia
6760, 4, Very Remote Australia
6762, 4, Very Remote Australia
6765, 4, Very Remote Australia
6770, 4, Very Remote Australia
6798, 4, Very Remote Australia
6799, 4, Very Remote Australia
7000, 1, Inner Regional Australia
7001, 3, Remote Australia
7004, 1, Inner Regional Australia
7005, 1, Inner Regional Australia
7007, 1, Inner Regional Australia
7008, 1, Inner Regional Australia
7009, 1, Inner Regional Australia
7010, 1, Inner Regional Australia
7011, 1, Inner Regional Australia
7012, 1, Inner Regional Australia
7015, 1, Inner Regional Australia
7016, 1, Inner Regional Australia
7017, 1, Inner Regional Australia
7018, 1, Inner Regional Australia
7019, 1, Inner Regional Australia
7020, 1, Inner Regional Australia
7021, 1, Inner Regional Australia
7022, 2, Outer Regional Australia
7023, 2, Outer Regional Australia
7024, 1, Inner Regional Australia
7025, 2, Outer Regional Australia
7026, 2, Outer Regional Australia
7027, 2, Outer Regional Australia
7030, 1, Inner Regional Australia
7050, 1, Inner Regional Australia
7052, 1, Inner Regional Australia
7053, 1, Inner Regional Australia
7054, 1, Inner Regional Australia
7055, 1, Inner Regional Australia
7109, 2, Outer Regional Australia
7112, 2, Outer Regional Australia
7113, 2, Outer Regional Australia
